resena_id,producto,texto,sentimiento,puntuacion
R082,Monitor,"Tamaño perfecto para mi escritorio, muy satisfecho",positivo,4
R083,Teclado,"Teclas que se desgastan rápidamente",negativo,2
R084,Ratón,"Buen agarre y deslizamiento suave",positivo,4
R085,Altavoces,"Diseño elegante pero sonido mediocre",neutro,3
R086,Router,"Configuración sencilla y cobertura estable",positivo,4
R087,Impresora,"Consume mucha tinta y imprime lento",negativo,2
R088,Disco_duro,"Perfecto para backup, muy confiable",positivo,4
R089,Webcam,"Imagen decente para el precio que pagué",neutro,3
R090,Micrófono,"Sonido profesional, perfecto para grabar",positivo,5
R091,Smartphone,"Muchas funciones pero batería pobre",neutro,3
R092,Laptop,"Se cuelga frecuentemente, muy frustrante",negativo,1
R093,Auriculares,"Aislamiento perfecto, no se escucha nada externo",positivo,5
R094,Tablet,"Rendimiento fluido y pantalla brillante",positivo,4
R095,Smartwatch,"GPS preciso y métricas de salud útiles",positivo,4
R096,Cámara,"Menús complicados pero resultados excelentes",neutro,3
R097,Monitor,"Colores vibrantes y contraste perfecto",positivo,5
R098,Teclado,"Escribir es un placer, muy recomendable",positivo,5
R099,Ratón,"Demasiado sensible, difícil de controlar",negativo,2
R100,Altavoces,"Superaron mis expectativas, sonido increíble",positivo,5
